| time |   in   |load |address |  out   |
| 0+   |      0 |  0  |     0  |      0 |
| 1    |      0 |  0  |     0  |      0 |
| 1+   |      0 |  1  |     0  |      0 |
| 2    |      0 |  1  |     0  |      0 |
| 2+   |   1111 |  0  |     0  |      0 |
| 3    |   1111 |  0  |     0  |      0 |
| 3+   |   1111 |  1  |  1111  |      0 |
| 4    |   1111 |  1  |  1111  |   1111 |
| 4+   |   1111 |  0  |     0  |      0 |
| 5    |   1111 |  0  |     0  |      0 |
| 5+   |   3513 |  0  |  3513  |      0 |
| 6    |   3513 |  0  |  3513  |      0 |
| 6+   |   3513 |  1  |  3513  |      0 |
| 7    |   3513 |  1  |  3513  |   3513 |
| 7+   |   3513 |  0  |  3513  |   3513 |
| 8    |   3513 |  0  |  3513  |   3513 |
| 8    |   3513 |  0  |  1111  |   1111 |
| 8+   |   4095 |  0  |  1111  |   1111 |
| 9    |   4095 |  0  |  1111  |   1111 |
| 9+   |   4095 |  1  |  4095  |      0 |
| 10   |   4095 |  1  |  4095  |   4095 |
| 10+  |   4095 |  0  |  4095  |   4095 |
| 11   |   4095 |  0  |  4095  |   4095 |
| 11   |   4095 |  0  |  3513  |   3513 |
| 11   |   4095 |  0  |  4095  |   4095 |
| 11+  |   4095 |  0  |  2728  |      0 |
| 12   |   4095 |  0  |  2728  |      0 |
| 12   |   4095 |  0  |  2729  |      0 |
| 12   |   4095 |  0  |  2730  |      0 |
| 12   |   4095 |  0  |  2731  |      0 |
| 12   |   4095 |  0  |  2732  |      0 |
| 12   |   4095 |  0  |  2733  |      0 |
| 12   |   4095 |  0  |  2734  |      0 |
| 12   |   4095 |  0  |  2735  |      0 |
| 12+  |  21845 |  1  |  2728  |      0 |
| 13   |  21845 |  1  |  2728  |  21845 |
| 13+  |  21845 |  1  |  2729  |      0 |
| 14   |  21845 |  1  |  2729  |  21845 |
| 14+  |  21845 |  1  |  2730  |      0 |
| 15   |  21845 |  1  |  2730  |  21845 |
| 15+  |  21845 |  1  |  2731  |      0 |
| 16   |  21845 |  1  |  2731  |  21845 |
| 16+  |  21845 |  1  |  2732  |      0 |
| 17   |  21845 |  1  |  2732  |  21845 |
| 17+  |  21845 |  1  |  2733  |      0 |
| 18   |  21845 |  1  |  2733  |  21845 |
| 18+  |  21845 |  1  |  2734  |      0 |
| 19   |  21845 |  1  |  2734  |  21845 |
| 19+  |  21845 |  1  |  2735  |      0 |
| 20   |  21845 |  1  |  2735  |  21845 |
| 20+  |  21845 |  0  |  2728  |  21845 |
| 21   |  21845 |  0  |  2728  |  21845 |
| 21   |  21845 |  0  |  2729  |  21845 |
| 21   |  21845 |  0  |  2730  |  21845 |
| 21   |  21845 |  0  |  2731  |  21845 |
| 21   |  21845 |  0  |  2732  |  21845 |
| 21   |  21845 |  0  |  2733  |  21845 |
| 21   |  21845 |  0  |  2734  |  21845 |
| 21   |  21845 |  0  |  2735  |  21845 |
| 21+  | -21846 |  1  |  2728  |  21845 |
| 22   | -21846 |  1  |  2728  | -21846 |
| 22+  | -21846 |  0  |  2728  | -21846 |
| 23   | -21846 |  0  |  2728  | -21846 |
| 23   | -21846 |  0  |  2729  |  21845 |
| 23   | -21846 |  0  |  2730  |  21845 |
| 23   | -21846 |  0  |  2731  |  21845 |
| 23   | -21846 |  0  |  2732  |  21845 |
| 23   | -21846 |  0  |  2733  |  21845 |
| 23   | -21846 |  0  |  2734  |  21845 |
| 23   | -21846 |  0  |  2735  |  21845 |
| 23+  |  21845 |  1  |  2728  | -21846 |
| 24   |  21845 |  1  |  2728  |  21845 |
| 24+  | -21846 |  1  |  2729  |  21845 |
| 25   | -21846 |  1  |  2729  | -21846 |
| 25+  | -21846 |  0  |  2728  |  21845 |
| 26   | -21846 |  0  |  2728  |  21845 |
| 26   | -21846 |  0  |  2729  | -21846 |
| 26   | -21846 |  0  |  2730  |  21845 |
| 26   | -21846 |  0  |  2731  |  21845 |
| 26   | -21846 |  0  |  2732  |  21845 |
| 26   | -21846 |  0  |  2733  |  21845 |
| 26   | -21846 |  0  |  2734  |  21845 |
| 26   | -21846 |  0  |  2735  |  21845 |
| 26+  |  21845 |  1  |  2729  | -21846 |
| 27   |  21845 |  1  |  2729  |  21845 |
| 27+  | -21846 |  1  |  2730  |  21845 |
| 28   | -21846 |  1  |  2730  | -21846 |
| 28+  | -21846 |  0  |  2728  |  21845 |
| 29   | -21846 |  0  |  2728  |  21845 |
| 29   | -21846 |  0  |  2729  |  21845 |
| 29   | -21846 |  0  |  2730  | -21846 |
| 29   | -21846 |  0  |  2731  |  21845 |
| 29   | -21846 |  0  |  2732  |  21845 |
| 29   | -21846 |  0  |  2733  |  21845 |
| 29   | -21846 |  0  |  2734  |  21845 |
| 29   | -21846 |  0  |  2735  |  21845 |
| 29+  |  21845 |  1  |  2730  | -21846 |
| 30   |  21845 |  1  |  2730  |  21845 |
| 30+  | -21846 |  1  |  2731  |  21845 |
| 31   | -21846 |  1  |  2731  | -21846 |
| 31+  | -21846 |  0  |  2728  |  21845 |
| 32   | -21846 |  0  |  2728  |  21845 |
| 32   | -21846 |  0  |  2729  |  21845 |
| 32   | -21846 |  0  |  2730  |  21845 |
| 32   | -21846 |  0  |  2731  | -21846 |
| 32   | -21846 |  0  |  2732  |  21845 |
| 32   | -21846 |  0  |  2733  |  21845 |
| 32   | -21846 |  0  |  2734  |  21845 |
| 32   | -21846 |  0  |  2735  |  21845 |
| 32+  |  21845 |  1  |  2731  | -21846 |
| 33   |  21845 |  1  |  2731  |  21845 |
| 33+  | -21846 |  1  |  2732  |  21845 |
| 34   | -21846 |  1  |  2732  | -21846 |
| 34+  | -21846 |  0  |  2728  |  21845 |
| 35   | -21846 |  0  |  2728  |  21845 |
| 35   | -21846 |  0  |  2729  |  21845 |
| 35   | -21846 |  0  |  2730  |  21845 |
| 35   | -21846 |  0  |  2731  |  21845 |
| 35   | -21846 |  0  |  2732  | -21846 |
| 35   | -21846 |  0  |  2733  |  21845 |
| 35   | -21846 |  0  |  2734  |  21845 |
| 35   | -21846 |  0  |  2735  |  21845 |
| 35+  |  21845 |  1  |  2732  | -21846 |
| 36   |  21845 |  1  |  2732  |  21845 |
| 36+  | -21846 |  1  |  2733  |  21845 |
| 37   | -21846 |  1  |  2733  | -21846 |
| 37+  | -21846 |  0  |  2728  |  21845 |
| 38   | -21846 |  0  |  2728  |  21845 |
| 38   | -21846 |  0  |  2729  |  21845 |
| 38   | -21846 |  0  |  2730  |  21845 |
| 38   | -21846 |  0  |  2731  |  21845 |
| 38   | -21846 |  0  |  2732  |  21845 |
| 38   | -21846 |  0  |  2733  | -21846 |
| 38   | -21846 |  0  |  2734  |  21845 |
| 38   | -21846 |  0  |  2735  |  21845 |
| 38+  |  21845 |  1  |  2733  | -21846 |
| 39   |  21845 |  1  |  2733  |  21845 |
| 39+  | -21846 |  1  |  2734  |  21845 |
| 40   | -21846 |  1  |  2734  | -21846 |
| 40+  | -21846 |  0  |  2728  |  21845 |
| 41   | -21846 |  0  |  2728  |  21845 |
| 41   | -21846 |  0  |  2729  |  21845 |
| 41   | -21846 |  0  |  2730  |  21845 |
| 41   | -21846 |  0  |  2731  |  21845 |
| 41   | -21846 |  0  |  2732  |  21845 |
| 41   | -21846 |  0  |  2733  |  21845 |
| 41   | -21846 |  0  |  2734  | -21846 |
| 41   | -21846 |  0  |  2735  |  21845 |
| 41+  |  21845 |  1  |  2734  | -21846 |
| 42   |  21845 |  1  |  2734  |  21845 |
| 42+  | -21846 |  1  |  2735  |  21845 |
| 43   | -21846 |  1  |  2735  | -21846 |
| 43+  | -21846 |  0  |  2728  |  21845 |
| 44   | -21846 |  0  |  2728  |  21845 |
| 44   | -21846 |  0  |  2729  |  21845 |
| 44   | -21846 |  0  |  2730  |  21845 |
| 44   | -21846 |  0  |  2731  |  21845 |
| 44   | -21846 |  0  |  2732  |  21845 |
| 44   | -21846 |  0  |  2733  |  21845 |
| 44   | -21846 |  0  |  2734  |  21845 |
| 44   | -21846 |  0  |  2735  | -21846 |
| 44+  |  21845 |  1  |  2735  | -21846 |
| 45   |  21845 |  1  |  2735  |  21845 |
| 45+  |  21845 |  0  |  2728  |  21845 |
| 46   |  21845 |  0  |  2728  |  21845 |
| 46   |  21845 |  0  |  2729  |  21845 |
| 46   |  21845 |  0  |  2730  |  21845 |
