| time |   in   |load |address|  out   |
| 0+   |      0 |  0  |    0  |      0 |
| 1    |      0 |  0  |    0  |      0 |
| 1+   |      0 |  1  |    0  |      0 |
| 2    |      0 |  1  |    0  |      0 |
| 2+   |  13099 |  0  |    0  |      0 |
| 3    |  13099 |  0  |    0  |      0 |
| 3+   |  13099 |  1  |  130  |      0 |
| 4    |  13099 |  1  |  130  |  13099 |
| 4+   |  13099 |  0  |    0  |      0 |
| 5    |  13099 |  0  |    0  |      0 |
| 5+   |   4729 |  0  |  472  |      0 |
| 6    |   4729 |  0  |  472  |      0 |
| 6+   |   4729 |  1  |  472  |      0 |
| 7    |   4729 |  1  |  472  |   4729 |
| 7+   |   4729 |  0  |  472  |   4729 |
| 8    |   4729 |  0  |  472  |   4729 |
| 8    |   4729 |  0  |  130  |  13099 |
| 8+   |   5119 |  0  |  130  |  13099 |
| 9    |   5119 |  0  |  130  |  13099 |
| 9+   |   5119 |  1  |  511  |      0 |
| 10   |   5119 |  1  |  511  |   5119 |
| 10+  |   5119 |  0  |  511  |   5119 |
| 11   |   5119 |  0  |  511  |   5119 |
| 11   |   5119 |  0  |  472  |   4729 |
| 11   |   5119 |  0  |  511  |   5119 |
| 11+  |   5119 |  0  |  168  |      0 |
| 12   |   5119 |  0  |  168  |      0 |
| 12   |   5119 |  0  |  169  |      0 |
| 12   |   5119 |  0  |  170  |      0 |
| 12   |   5119 |  0  |  171  |      0 |
| 12   |   5119 |  0  |  172  |      0 |
| 12   |   5119 |  0  |  173  |      0 |
| 12   |   5119 |  0  |  174  |      0 |
| 12   |   5119 |  0  |  175  |      0 |
| 12+  |  21845 |  1  |  168  |      0 |
| 13   |  21845 |  1  |  168  |  21845 |
| 13+  |  21845 |  1  |  169  |      0 |
| 14   |  21845 |  1  |  169  |  21845 |
| 14+  |  21845 |  1  |  170  |      0 |
| 15   |  21845 |  1  |  170  |  21845 |
| 15+  |  21845 |  1  |  171  |      0 |
| 16   |  21845 |  1  |  171  |  21845 |
| 16+  |  21845 |  1  |  172  |      0 |
